year,quarter,nation,target_revenue,target_order_count
1996,Q1,FRANCE,1591400000,10900
1996,Q1,GERMANY,1620600000,11100
1996,Q1,JAPAN,1606000000,11000
1996,Q1,UNITED STATES,1722800000,11800
1996,Q2,FRANCE,1598700000,10950
1996,Q2,GERMANY,1627900000,11150
1996,Q2,JAPAN,1613300000,11050
1996,Q2,UNITED STATES,1730100000,11850
1996,Q3,FRANCE,1606000000,11000
1996,Q3,GERMANY,1635200000,11200
1996,Q3,JAPAN,1620600000,11100
1996,Q3,UNITED STATES,1737400000,11900
1996,Q4,FRANCE,1613300000,11050
1996,Q4,GERMANY,1642500000,11250
1996,Q4,JAPAN,1627900000,11150
1996,Q4,UNITED STATES,1744700000,11950
