year,quarter,nation,target_revenue,target_order_count
1995,Q1,FRANCE,1584100000,10850
1995,Q1,GERMANY,1613300000,11050
1995,Q1,JAPAN,1598700000,10950
1995,Q1,UNITED STATES,1708200000,11700
1995,Q2,FRANCE,1591400000,10900
1995,Q2,GERMANY,1620600000,11100
1995,Q2,JAPAN,1606000000,11000
1995,Q2,UNITED STATES,1715500000,11750
1995,Q3,FRANCE,1598700000,10950
1995,Q3,GERMANY,1627900000,11150
1995,Q3,JAPAN,1613300000,11050
1995,Q3,UNITED STATES,1722800000,11800
1995,Q4,FRANCE,1606000000,11000
1995,Q4,GERMANY,1635200000,11200
1995,Q4,JAPAN,1620600000,11100
1995,Q4,UNITED STATES,1730100000,11850
